method,mode,atom,base,heldout,frac,dose,dt,clamped,amplitude,radius,c_tan,delta_norm,h_norm,delta_frac,off_manifold,validity_radius,within_validity,predicted_nats,predicted_nats_pathint,predicted_nats_tangent,measured_kl
linear_fisher,on_chart,0,1,False,0.2,-0.2,,,,,,3.401071828474469,4369.6938216227745,,,,,2.637592102596499e-05,,,2.8199633153957695e-05
manifold,on_chart,0,1,False,0.4,0.4,3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.323705446508612,4369.6938216227745,0.0007606266210373263,7.624040857000838e-13,0.0476897262383176,False,5.450852209770324e-05,9.007532317942514,4.95190248909076e-05,6.42392918075705e-05
linear_norm,on_chart,0,1,False,0.4,0.4,,,,,,3.323705446508612,4369.6938216227745,,,,,0.00021720680195224716,,,2.579382540210754e-05
linear_fisher,on_chart,0,1,False,0.4,0.4,,,,,,3.323705446508612,4369.6938216227745,,,,,2.518958909935024e-05,,,2.579382540210754e-05
manifold,on_chart,0,1,False,0.4,-0.4,-3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.401071828474469,4369.6938216227745,0.0007783318390970038,7.70246175551577e-13,0.0476897262383176,False,5.935263105974067e-05,9.008249689902225,5.185117886020084e-05,6.9281863906233e-05
linear_norm,on_chart,0,1,False,0.4,-0.4,,,,,,3.401071828474469,4369.6938216227745,,,,,0.00022743639969667766,,,2.8199633153957695e-05
linear_fisher,on_chart,0,1,False,0.4,-0.4,,,,,,3.401071828474469,4369.6938216227745,,,,,2.637592102596499e-05,,,2.8199633153957695e-05
manifold,on_chart,0,31,False,0.005,0.005,0.052279849390029304,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,10.555193162884356,1520.4826177994757,0.006942001861330318,2.390269052032632e-12,0.0065349811737536664,False,0.005902379959879859,0.0014169435605592016,0.0013773252783380399,0.005398476230725276
linear_norm,on_chart,0,31,False,0.005,0.005,,,,,,10.555193162884356,1520.4826177994757,,,,,0.002190588153036703,,,0.00015901075186551653
linear_fisher,on_chart,0,31,False,0.005,0.005,,,,,,10.555193162884356,1520.4826177994757,,,,,0.00017106350232051849,,,0.00015901075186551653
manifold,on_chart,0,31,False,0.005,-0.005,-0.052279849390029304,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,4.260447998039445,1520.4826177994757,0.0028020366350556473,1.038058544273991e-12,0.006534981173753663,False,0.0009637099279366989,0.00026870485334301895,0.00022439577983825008,0.0010367006009475137
linear_norm,on_chart,0,31,False,0.005,-0.005,,,,,,4.260447998039445,1520.4826177994757,,,,,0.00035689371612945776,,,3.3702312468504715e-05
linear_fisher,on_chart,0,31,False,0.005,-0.005,,,,,,4.260447998039445,1520.4826177994757,,,,,2.786990742767298e-05,,,3.3702312468504715e-05
manifold,on_chart,0,31,False,0.01,0.01,0.10459546415478818,False,0.22630150806513424,145.43421661271074,2.47248771881644e-05,26.289077625063438,1520.4826177994757,0.017289956042450788,5.949214678673521e-12,0.006537216509674263,False,0.03659961497624421,0.009029521255157637,0.008543874195792984,0.031023468646121266
linear_norm,on_chart,0,31,False,0.01,0.01,,,,,,26.289077625063438,1520.4826177994757,,,,,0.013588736000637437,,,0.001090894737356625
linear_fisher,on_chart,0,31,False,0.01,0.01,,,,,,26.289077625063438,1520.4826177994757,,,,,0.0010611473312112864,,,0.001090894737356625
